Gene_ID,GO_ID,GO_Term,Ontology
Ca_00055,GO:0005622,intracellular anatomical structure,CC
Ca_00055,GO:0006260,DNA replication,BP
Ca_00055,GO:0006281,DNA repair,BP
Ca_00055,GO:0006310,DNA recombination,BP
Ca_00057,GO:0003824,catalytic activity,MF
Ca_00057,GO:0008270,zinc ion binding,MF
Ca_00057,GO:0016787,hydrolase activity,MF
Ca_00059,GO:0003824,catalytic activity,MF
Ca_00059,GO:0004372,glycine hydroxymethyltransferase activity,MF
Ca_00059,GO:0006544,glycine metabolic process,BP
Ca_00059,GO:0006563,L-serine metabolic process,BP
Ca_00059,GO:0030170,pyridoxal phosphate binding,MF
Ca_00061,GO:0005216,monoatomic ion channel activity,MF
Ca_00061,GO:0005249,voltage-gated potassium channel activity,MF
Ca_00061,GO:0005515,protein binding,MF
Ca_00061,GO:0006811,monoatomic ion transport,BP
Ca_00061,GO:0006813,potassium ion transport,BP
Ca_00061,GO:0016020,membrane,CC
Ca_00061,GO:0055085,transmembrane transport,BP
Ca_00062,GO:0006672,ceramide metabolic process,BP
Ca_00062,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",MF
Ca_00063,GO:0005488,binding,MF
Ca_00063,GO:0005515,protein binding,MF
Ca_00063,GO:0006886,intracellular protein transport,BP
Ca_00064,GO:0005515,protein binding,MF
Ca_00066,GO:0006457,protein folding,BP
Ca_00066,GO:0051082,unfolded protein binding,MF
Ca_00067,GO:0003700,DNA-binding transcription factor activity,MF
Ca_00067,GO:0006355,regulation of DNA-templated transcription,BP
Ca_00067,GO:0008270,zinc ion binding,MF
Ca_00067,GO:0043565,sequence-specific DNA binding,MF
Ca_00068,GO:0003676,nucleic acid binding,MF
Ca_00068,GO:0003980,UDP-glucose:glycoprotein glucosyltransferase activity,MF
Ca_00068,GO:0004386,helicase activity,MF
Ca_00068,GO:0005524,ATP binding,MF
Ca_00068,GO:0016757,glycosyltransferase activity,MF
Ca_00069,GO:0000166,nucleotide binding,MF
Ca_00069,GO:0005524,ATP binding,MF
Ca_00069,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_00070,GO:0003824,catalytic activity,MF
Ca_00070,GO:0006633,fatty acid biosynthetic process,BP
Ca_00070,GO:0008152,metabolic process,BP
Ca_00070,GO:0008610,lipid biosynthetic process,BP
Ca_00070,GO:0016020,membrane,CC
Ca_00070,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_00071,GO:0005515,protein binding,MF
Ca_00072,GO:0016491,oxidoreductase activity,MF
Ca_00072,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,MF
Ca_00074,GO:0006810,transport,BP
Ca_00075,GO:0005515,protein binding,MF
Ca_00076,GO:0016491,oxidoreductase activity,MF
Ca_00076,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,MF
Ca_00077,GO:0005198,structural molecule activity,MF
Ca_00077,GO:0009507,chloroplast,CC
Ca_00080,GO:0005515,protein binding,MF
Ca_00080,GO:0008270,zinc ion binding,MF
Ca_00081,GO:0005515,protein binding,MF
Ca_00083,GO:0005198,structural molecule activity,MF
Ca_00083,GO:0009507,chloroplast,CC
Ca_00084,GO:0006629,lipid metabolic process,BP
Ca_00084,GO:0008152,metabolic process,BP
Ca_00085,GO:0031047,regulatory ncRNA-mediated gene silencing,BP
Ca_00087,GO:0005515,protein binding,MF
Ca_00088,GO:0005622,intracellular anatomical structure,CC
Ca_00088,GO:0042254,ribosome biogenesis,BP
Ca_00089,GO:0005515,protein binding,MF
Ca_00089,GO:0005634,nucleus,CC
Ca_00089,GO:0006508,proteolysis,BP
Ca_00089,GO:0008233,peptidase activity,MF
Ca_00096,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_00099,GO:0005515,protein binding,MF
Ca_00100,GO:0016020,membrane,CC
Ca_00101,GO:0016020,membrane,CC
Ca_00102,GO:0005975,carbohydrate metabolic process,BP
Ca_00102,GO:0042132,"fructose 1,6-bisphosphate 1-phosphatase activity",MF
Ca_00102,GO:0042578,phosphoric ester hydrolase activity,MF
Ca_00104,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",BP
Ca_00104,GO:0008121,quinol-cytochrome-c reductase activity,MF
Ca_00106,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",BP
Ca_00106,GO:0008121,quinol-cytochrome-c reductase activity,MF
Ca_00107,GO:0003824,catalytic activity,MF
Ca_00107,GO:0016831,carboxy-lyase activity,MF
Ca_00107,GO:0019752,carboxylic acid metabolic process,BP
Ca_00107,GO:0030170,pyridoxal phosphate binding,MF
Ca_00109,GO:0004601,peroxidase activity,MF
Ca_00109,GO:0006979,response to oxidative stress,BP
Ca_00109,GO:0020037,heme binding,MF
Ca_00110,GO:0005543,phospholipid binding,MF
Ca_00110,GO:0005545,1-phosphatidylinositol binding,MF
Ca_00110,GO:0030118,clathrin coat,CC
Ca_00110,GO:0030276,clathrin binding,MF
Ca_00110,GO:0048268,clathrin coat assembly,BP
Ca_00111,GO:0003735,structural constituent of ribosome,MF
Ca_00111,GO:0005622,intracellular anatomical structure,CC
Ca_00111,GO:0005840,ribosome,CC
Ca_00111,GO:0006412,translation,BP
Ca_00112,GO:0004609,phosphatidylserine decarboxylase activity,MF
Ca_00112,GO:0005509,calcium ion binding,MF
Ca_00112,GO:0005515,protein binding,MF
Ca_00112,GO:0008654,phospholipid biosynthetic process,BP
Ca_00113,GO:0003677,DNA binding,MF
Ca_00113,GO:0006355,regulation of DNA-templated transcription,BP
Ca_00114,GO:0008152,metabolic process,BP
Ca_00114,GO:0016758,hexosyltransferase activity,MF
Ca_00115,GO:0008152,metabolic process,BP
Ca_00115,GO:0016758,hexosyltransferase activity,MF
Ca_00116,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_00116,GO:0005975,carbohydrate metabolic process,BP
Ca_00117,GO:0008152,metabolic process,BP
Ca_00117,GO:0016758,hexosyltransferase activity,MF
Ca_00118,GO:0004672,protein kinase activity,MF
Ca_00118,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00118,GO:0005515,protein binding,MF
Ca_00118,GO:0005524,ATP binding,MF
Ca_00118,GO:0006468,protein phosphorylation,BP
Ca_00118,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00119,GO:0005515,protein binding,MF
Ca_00120,GO:0003824,catalytic activity,MF
Ca_00120,GO:0009058,biosynthetic process,BP
Ca_00120,GO:0009089,L-lysine biosynthetic process via diaminopimelate,BP
Ca_00120,GO:0010285,"L,L-diaminopimelate aminotransferase activity",MF
Ca_00120,GO:0030170,pyridoxal phosphate binding,MF
Ca_00121,GO:0005515,protein binding,MF
Ca_00122,GO:0008271,secondary active sulfate transmembrane transporter activity,MF
Ca_00122,GO:0015116,sulfate transmembrane transporter activity,MF
Ca_00122,GO:0016020,membrane,CC
Ca_00122,GO:0055085,transmembrane transport,BP
Ca_00123,GO:0008271,secondary active sulfate transmembrane transporter activity,MF
Ca_00123,GO:0015116,sulfate transmembrane transporter activity,MF
Ca_00123,GO:0016020,membrane,CC
Ca_00123,GO:0055085,transmembrane transport,BP
Ca_00125,GO:0006869,lipid transport,BP
Ca_00125,GO:0008289,lipid binding,MF
Ca_00126,GO:0003824,catalytic activity,MF
Ca_00127,GO:0009765,"photosynthesis, light harvesting",BP
Ca_00127,GO:0016020,membrane,CC
Ca_00128,GO:0005737,cytoplasm,CC
Ca_00128,GO:0006633,fatty acid biosynthetic process,BP
Ca_00128,GO:0016836,hydro-lyase activity,MF
Ca_00129,GO:0004601,peroxidase activity,MF
Ca_00129,GO:0006979,response to oxidative stress,BP
Ca_00129,GO:0020037,heme binding,MF
Ca_00130,GO:0004672,protein kinase activity,MF
Ca_00130,GO:0005524,ATP binding,MF
Ca_00130,GO:0006468,protein phosphorylation,BP
Ca_00130,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00132,GO:0003723,RNA binding,MF
Ca_00132,GO:0005488,binding,MF
Ca_00134,GO:0015079,potassium ion transmembrane transporter activity,MF
Ca_00134,GO:0016020,membrane,CC
Ca_00134,GO:0071805,potassium ion transmembrane transport,BP
Ca_00135,GO:0030001,metal ion transport,BP
Ca_00135,GO:0046872,metal ion binding,MF
Ca_00136,GO:0003677,DNA binding,MF
Ca_00136,GO:0005515,protein binding,MF
Ca_00136,GO:0005634,nucleus,CC
Ca_00137,GO:0005634,nucleus,CC
Ca_00137,GO:0042254,ribosome biogenesis,BP
Ca_00138,GO:0003824,catalytic activity,MF
Ca_00140,GO:0004197,cysteine-type endopeptidase activity,MF
Ca_00140,GO:0006508,proteolysis,BP
