Gene_ID,GO_ID,GO_Term,Ontology
Ca_01480,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01481,GO:0004177,aminopeptidase activity,MF
Ca_01481,GO:0005622,intracellular anatomical structure,CC
Ca_01481,GO:0005737,cytoplasm,CC
Ca_01481,GO:0006508,proteolysis,BP
Ca_01481,GO:0008235,metalloexopeptidase activity,MF
Ca_01481,GO:0019538,protein metabolic process,BP
Ca_01481,GO:0030145,manganese ion binding,MF
Ca_01485,GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity,MF
Ca_01485,GO:0008152,metabolic process,BP
Ca_01485,GO:0008654,phospholipid biosynthetic process,BP
Ca_01485,GO:0016020,membrane,CC
Ca_01485,GO:0016746,acyltransferase activity,MF
Ca_01486,GO:0004185,serine-type carboxypeptidase activity,MF
Ca_01486,GO:0006508,proteolysis,BP
Ca_01489,GO:0015031,protein transport,BP
Ca_01489,GO:0016020,membrane,CC
Ca_01490,GO:0003677,DNA binding,MF
Ca_01490,GO:0005524,ATP binding,MF
Ca_01491,GO:0005543,phospholipid binding,MF
Ca_01491,GO:0005545,1-phosphatidylinositol binding,MF
Ca_01491,GO:0030118,clathrin coat,CC
Ca_01491,GO:0030276,clathrin binding,MF
Ca_01491,GO:0048268,clathrin coat assembly,BP
Ca_01495,GO:0005515,protein binding,MF
Ca_01499,GO:0000166,nucleotide binding,MF
Ca_01499,GO:0006754,ATP biosynthetic process,BP
Ca_01499,GO:0006812,monoatomic cation transport,BP
Ca_01499,GO:0016887,ATP hydrolysis activity,MF
Ca_01499,GO:0019829,ATPase-coupled monoatomic cation transmembrane transporter activity,MF
Ca_01499,GO:0046872,metal ion binding,MF
Ca_01500,GO:0016491,oxidoreductase activity,MF
Ca_01500,GO:0050661,NADP binding,MF
Ca_01501,GO:0005515,protein binding,MF
Ca_01503,GO:0016020,membrane,CC
Ca_01507,GO:0015116,sulfate transmembrane transporter activity,MF
Ca_01508,GO:0005515,protein binding,MF
Ca_01510,GO:0003723,RNA binding,MF
Ca_01514,GO:0005507,copper ion binding,MF
Ca_01514,GO:0009055,electron transfer activity,MF
Ca_01515,GO:0005515,protein binding,MF
Ca_01517,GO:0006633,fatty acid biosynthetic process,BP
Ca_01517,GO:0016790,thiolester hydrolase activity,MF
Ca_01518,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_01519,GO:0005515,protein binding,MF
Ca_01521,GO:0000166,nucleotide binding,MF
Ca_01521,GO:0003676,nucleic acid binding,MF
Ca_01522,GO:0048544,recognition of pollen,BP
Ca_01523,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_01523,GO:0005975,carbohydrate metabolic process,BP
Ca_01526,GO:0004392,heme oxygenase (decyclizing) activity,MF
Ca_01526,GO:0006788,heme oxidation,BP
Ca_01527,GO:0005643,nuclear pore,CC
Ca_01530,GO:0046854,phosphatidylinositol phosphate biosynthetic process,BP
Ca_01538,GO:0003951,NAD+ kinase activity,MF
Ca_01538,GO:0004143,ATP-dependent diacylglycerol kinase activity,MF
Ca_01538,GO:0008152,metabolic process,BP
Ca_01543,GO:0005515,protein binding,MF
Ca_01544,GO:0006479,protein methylation,BP
Ca_01544,GO:0008168,methyltransferase activity,MF
Ca_01545,GO:0004672,protein kinase activity,MF
Ca_01545,GO:0004674,protein serine/threonine kinase activity,MF
Ca_01545,GO:0005524,ATP binding,MF
Ca_01545,GO:0006468,protein phosphorylation,BP
Ca_01545,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01546,GO:0003824,catalytic activity,MF
Ca_01546,GO:0006633,fatty acid biosynthetic process,BP
Ca_01546,GO:0008152,metabolic process,BP
Ca_01546,GO:0008610,lipid biosynthetic process,BP
Ca_01546,GO:0016020,membrane,CC
Ca_01546,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_01548,GO:0016787,hydrolase activity,MF
Ca_01549,GO:0010024,phytochromobilin biosynthetic process,BP
Ca_01549,GO:0016636,"oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor",MF
Ca_01549,GO:0050897,cobalt ion binding,MF
Ca_01551,GO:0008270,zinc ion binding,MF
Ca_01552,GO:0003735,structural constituent of ribosome,MF
Ca_01552,GO:0005622,intracellular anatomical structure,CC
Ca_01552,GO:0005840,ribosome,CC
Ca_01552,GO:0006412,translation,BP
Ca_01555,GO:0003677,DNA binding,MF
Ca_01555,GO:0008270,zinc ion binding,MF
Ca_01556,GO:0008270,zinc ion binding,MF
Ca_01557,GO:0003677,DNA binding,MF
Ca_01557,GO:0008270,zinc ion binding,MF
Ca_01558,GO:0016787,hydrolase activity,MF
Ca_01558,GO:0046872,metal ion binding,MF
Ca_01559,GO:0003677,DNA binding,MF
Ca_01559,GO:0008270,zinc ion binding,MF
Ca_01561,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01565,GO:0005515,protein binding,MF
Ca_01566,GO:0008233,peptidase activity,MF
Ca_01566,GO:0016020,membrane,CC
Ca_01567,GO:0003723,RNA binding,MF
Ca_01567,GO:0005730,nucleolus,CC
Ca_01567,GO:0042254,ribosome biogenesis,BP
Ca_01568,GO:0005515,protein binding,MF
Ca_01569,GO:0008270,zinc ion binding,MF
Ca_01569,GO:0016491,oxidoreductase activity,MF
Ca_01570,GO:0004185,serine-type carboxypeptidase activity,MF
Ca_01570,GO:0006508,proteolysis,BP
Ca_01572,GO:0008270,zinc ion binding,MF
Ca_01572,GO:0016491,oxidoreductase activity,MF
Ca_01572,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_01573,GO:0004185,serine-type carboxypeptidase activity,MF
Ca_01573,GO:0006508,proteolysis,BP
Ca_01574,GO:0008270,zinc ion binding,MF
Ca_01574,GO:0016491,oxidoreductase activity,MF
Ca_01575,GO:0012511,monolayer-surrounded lipid storage body,CC
Ca_01577,GO:0006950,response to stress,BP
Ca_01578,GO:0000166,nucleotide binding,MF
Ca_01578,GO:0046872,metal ion binding,MF
Ca_01579,GO:0016757,glycosyltransferase activity,MF
Ca_01580,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01580,GO:0006508,proteolysis,BP
Ca_01581,GO:0003676,nucleic acid binding,MF
Ca_01581,GO:0004386,helicase activity,MF
Ca_01581,GO:0005524,ATP binding,MF
Ca_01582,GO:0005515,protein binding,MF
Ca_01583,GO:0003777,microtubule motor activity,MF
Ca_01583,GO:0005524,ATP binding,MF
Ca_01583,GO:0005871,kinesin complex,CC
Ca_01583,GO:0007018,microtubule-based movement,BP
Ca_01583,GO:0008017,microtubule binding,MF
Ca_01585,GO:0005622,intracellular anatomical structure,CC
Ca_01585,GO:0043565,sequence-specific DNA binding,MF
Ca_01585,GO:0046982,protein heterodimerization activity,MF
Ca_01586,GO:0000166,nucleotide binding,MF
Ca_01586,GO:0000287,magnesium ion binding,MF
Ca_01586,GO:0005524,ATP binding,MF
Ca_01586,GO:0006812,monoatomic cation transport,BP
Ca_01586,GO:0015914,phospholipid transport,BP
Ca_01586,GO:0019829,ATPase-coupled monoatomic cation transmembrane transporter activity,MF
Ca_01586,GO:0046872,metal ion binding,MF
Ca_01588,GO:0003824,catalytic activity,MF
Ca_01588,GO:0008152,metabolic process,BP
Ca_01590,GO:0005515,protein binding,MF
Ca_01590,GO:0008270,zinc ion binding,MF
Ca_01593,GO:0000015,phosphopyruvate hydratase complex,CC
Ca_01593,GO:0000287,magnesium ion binding,MF
Ca_01593,GO:0004634,phosphopyruvate hydratase activity,MF
Ca_01593,GO:0006096,glycolytic process,BP
Ca_01594,GO:0047800,cysteamine dioxygenase activity,MF
Ca_01595,GO:0046872,metal ion binding,MF
Ca_01596,GO:0046872,metal ion binding,MF
Ca_01597,GO:0046872,metal ion binding,MF
Ca_01598,GO:0000166,nucleotide binding,MF
Ca_01598,GO:0046872,metal ion binding,MF
Ca_01599,GO:0005524,ATP binding,MF
Ca_01599,GO:0006810,transport,BP
Ca_01599,GO:0042626,ATPase-coupled transmembrane transporter activity,MF
Ca_01599,GO:0055085,transmembrane transport,BP
Ca_01601,GO:0009058,biosynthetic process,BP
Ca_01601,GO:0016844,strictosidine synthase activity,MF
Ca_01603,GO:0004869,cysteine-type endopeptidase inhibitor activity,MF
Ca_01605,GO:0003923,GPI-anchor transamidase activity,MF
Ca_01605,GO:0004197,cysteine-type endopeptidase activity,MF
Ca_01605,GO:0006508,proteolysis,BP
Ca_01605,GO:0016255,attachment of GPI anchor to protein,BP
Ca_01605,GO:0042765,GPI-anchor transamidase complex,CC
Ca_01607,GO:0005515,protein binding,MF
Ca_01607,GO:0005634,nucleus,CC
Ca_01607,GO:0007049,cell cycle,BP
Ca_01608,GO:0004650,polygalacturonase activity,MF
Ca_01608,GO:0005975,carbohydrate metabolic process,BP
Ca_01610,GO:0003677,DNA binding,MF
Ca_01610,GO:0003899,DNA-directed RNA polymerase activity,MF
Ca_01610,GO:0006351,DNA-templated transcription,BP
Ca_01612,GO:0006508,proteolysis,BP
Ca_01612,GO:0008233,peptidase activity,MF
Ca_01614,GO:0003824,catalytic activity,MF
Ca_01614,GO:0004590,orotidine-5'-phosphate decarboxylase activity,MF
Ca_01614,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP
Ca_01614,GO:0008152,metabolic process,BP
Ca_01614,GO:0044205,'de novo' UMP biosynthetic process,BP
Ca_01616,GO:0005515,protein binding,MF
Ca_01617,GO:0003824,catalytic activity,MF
Ca_01617,GO:0004590,orotidine-5'-phosphate decarboxylase activity,MF
Ca_01617,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP
Ca_01617,GO:0008152,metabolic process,BP
Ca_01620,GO:0003824,catalytic activity,MF
Ca_01620,GO:0004590,orotidine-5'-phosphate decarboxylase activity,MF
Ca_01620,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP
Ca_01620,GO:0008152,metabolic process,BP
Ca_01622,GO:0005515,protein binding,MF
Ca_01625,GO:0008152,metabolic process,BP
Ca_01625,GO:0016758,hexosyltransferase activity,MF
Ca_01630,GO:0006357,regulation of transcription by RNA polymerase II,BP
Ca_01630,GO:0016592,mediator complex,CC
Ca_01633,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01633,GO:0006508,proteolysis,BP
Ca_01634,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01634,GO:0006508,proteolysis,BP
Ca_01635,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01635,GO:0006508,proteolysis,BP
Ca_01636,GO:0003677,DNA binding,MF
Ca_01636,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01637,GO:0003676,nucleic acid binding,MF
Ca_01637,GO:0005515,protein binding,MF
Ca_01640,GO:0003676,nucleic acid binding,MF
Ca_01640,GO:0004386,helicase activity,MF
Ca_01640,GO:0005524,ATP binding,MF
Ca_01643,GO:0016757,glycosyltransferase activity,MF
Ca_01645,GO:0003677,DNA binding,MF
Ca_01645,GO:0003700,DNA-binding transcription factor activity,MF
Ca_01645,GO:0005634,nucleus,CC
Ca_01645,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01645,GO:0046983,protein dimerization activity,MF
Ca_01647,GO:0003677,DNA binding,MF
Ca_01647,GO:0005634,nucleus,CC
Ca_01648,GO:0016866,intramolecular transferase activity,MF
Ca_01648,GO:0030244,cellulose biosynthetic process,BP
Ca_01649,GO:0010215,cellulose microfibril organization,BP
Ca_01649,GO:0016049,cell growth,BP
Ca_01650,GO:0010215,cellulose microfibril organization,BP
Ca_01650,GO:0016049,cell growth,BP
Ca_01651,GO:0010215,cellulose microfibril organization,BP
Ca_01651,GO:0016049,cell growth,BP
Ca_01653,GO:0005515,protein binding,MF
Ca_01654,GO:0005515,protein binding,MF
Ca_01657,GO:0046872,metal ion binding,MF
Ca_01658,GO:0005515,protein binding,MF
Ca_01660,GO:0003677,DNA binding,MF
Ca_01660,GO:0003682,chromatin binding,MF
Ca_01660,GO:0005515,protein binding,MF
Ca_01661,GO:0008418,protein-N-terminal asparagine amidohydrolase activity,MF
Ca_01662,GO:0004175,endopeptidase activity,MF
Ca_01662,GO:0004298,threonine-type endopeptidase activity,MF
Ca_01662,GO:0005839,proteasome core complex,CC
Ca_01662,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_01662,GO:0019773,"proteasome core complex, alpha-subunit complex",CC
Ca_01665,GO:0007049,cell cycle,BP
Ca_01665,GO:0017053,transcription repressor complex,CC
Ca_01666,GO:0003677,DNA binding,MF
Ca_01666,GO:0003700,DNA-binding transcription factor activity,MF
Ca_01666,GO:0005634,nucleus,CC
Ca_01666,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01666,GO:0043565,sequence-specific DNA binding,MF
Ca_01668,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_01670,GO:0005506,iron ion binding,MF
Ca_01670,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_01670,GO:0020037,heme binding,MF
Ca_01672,GO:0005515,protein binding,MF
Ca_01672,GO:0008270,zinc ion binding,MF
Ca_01675,GO:0000148,"1,3-beta-D-glucan synthase complex",CC
Ca_01675,GO:0003843,"1,3-beta-D-glucan synthase activity",MF
Ca_01675,GO:0006075,(1->3)-beta-D-glucan biosynthetic process,BP
Ca_01675,GO:0016020,membrane,CC
Ca_01677,GO:0005515,protein binding,MF
Ca_01678,GO:0005525,GTP binding,MF
Ca_01680,GO:0006099,tricarboxylic acid cycle,BP
Ca_01680,GO:0046912,"acyltransferase activity, acyl groups converted into alkyl on transfer",MF
Ca_01681,GO:0003676,nucleic acid binding,MF
Ca_01681,GO:0004527,exonuclease activity,MF
Ca_01681,GO:0046872,metal ion binding,MF
Ca_01682,GO:0003824,catalytic activity,MF
Ca_01682,GO:0046872,metal ion binding,MF
Ca_01682,GO:0051536,iron-sulfur cluster binding,MF
Ca_01682,GO:0051539,"4 iron, 4 sulfur cluster binding",MF
Ca_01685,GO:0005515,protein binding,MF
Ca_01685,GO:0008270,zinc ion binding,MF
Ca_01686,GO:0000166,nucleotide binding,MF
Ca_01686,GO:0005524,ATP binding,MF
Ca_01686,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_01696,GO:0005515,protein binding,MF
Ca_01696,GO:0006952,defense response,BP
Ca_01696,GO:0043531,ADP binding,MF
Ca_01701,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_01701,GO:0004563,beta-N-acetylhexosaminidase activity,MF
Ca_01701,GO:0005975,carbohydrate metabolic process,BP
Ca_01702,GO:0006869,lipid transport,BP
Ca_01702,GO:0008289,lipid binding,MF
Ca_01704,GO:0005515,protein binding,MF
Ca_01704,GO:0008270,zinc ion binding,MF
Ca_01704,GO:0046872,metal ion binding,MF
Ca_01706,GO:0006869,lipid transport,BP
Ca_01706,GO:0008289,lipid binding,MF
Ca_01707,GO:0005515,protein binding,MF
Ca_01708,GO:0006952,defense response,BP
Ca_01708,GO:0043531,ADP binding,MF
Ca_01710,GO:0003774,cytoskeletal motor activity,MF
Ca_01710,GO:0005515,protein binding,MF
Ca_01710,GO:0005524,ATP binding,MF
Ca_01710,GO:0016459,myosin complex,CC
Ca_01712,GO:0003677,DNA binding,MF
Ca_01712,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01714,GO:0003883,CTP synthase activity,MF
Ca_01714,GO:0006221,pyrimidine nucleotide biosynthetic process,BP
Ca_01715,GO:0000166,nucleotide binding,MF
Ca_01715,GO:0005524,ATP binding,MF
Ca_01715,GO:0006810,transport,BP
Ca_01715,GO:0016020,membrane,CC
Ca_01715,GO:0016887,ATP hydrolysis activity,MF
Ca_01715,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_01715,GO:0042626,ATPase-coupled transmembrane transporter activity,MF
Ca_01715,GO:0055085,transmembrane transport,BP
Ca_01716,GO:0004672,protein kinase activity,MF
Ca_01716,GO:0004674,protein serine/threonine kinase activity,MF
Ca_01716,GO:0005524,ATP binding,MF
Ca_01716,GO:0006468,protein phosphorylation,BP
Ca_01716,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01718,GO:0000287,magnesium ion binding,MF
Ca_01718,GO:0004450,isocitrate dehydrogenase (NADP+) activity,MF
Ca_01718,GO:0006102,isocitrate metabolic process,BP
Ca_01718,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF
Ca_01718,GO:0051287,NAD binding,MF
Ca_01719,GO:0004672,protein kinase activity,MF
Ca_01719,GO:0004674,protein serine/threonine kinase activity,MF
Ca_01719,GO:0005524,ATP binding,MF
Ca_01719,GO:0006468,protein phosphorylation,BP
Ca_01719,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01720,GO:0006357,regulation of transcription by RNA polymerase II,BP
Ca_01720,GO:0016592,mediator complex,CC
Ca_01722,GO:0003824,catalytic activity,MF
Ca_01722,GO:0005524,ATP binding,MF
Ca_01723,GO:0004185,serine-type carboxypeptidase activity,MF
Ca_01723,GO:0006508,proteolysis,BP
Ca_01725,GO:0003735,structural constituent of ribosome,MF
Ca_01725,GO:0005840,ribosome,CC
Ca_01725,GO:0006412,translation,BP
Ca_01727,GO:0003676,nucleic acid binding,MF
Ca_01727,GO:0004386,helicase activity,MF
Ca_01727,GO:0005524,ATP binding,MF
Ca_01728,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01728,GO:0006508,proteolysis,BP
Ca_01730,GO:0005643,nuclear pore,CC
Ca_01730,GO:0006606,protein import into nucleus,BP
Ca_01732,GO:0005198,structural molecule activity,MF
Ca_01732,GO:0006886,intracellular protein transport,BP
Ca_01732,GO:0016192,vesicle-mediated transport,BP
Ca_01732,GO:0030130,clathrin coat of trans-Golgi network vesicle,CC
Ca_01732,GO:0030132,clathrin coat of coated pit,CC
Ca_01733,GO:0003676,nucleic acid binding,MF
Ca_01733,GO:0005634,nucleus,CC
Ca_01734,GO:0003676,nucleic acid binding,MF
Ca_01734,GO:0005634,nucleus,CC
Ca_01735,GO:0003676,nucleic acid binding,MF
Ca_01735,GO:0005634,nucleus,CC
Ca_01736,GO:0003677,DNA binding,MF
Ca_01738,GO:0004601,peroxidase activity,MF
Ca_01738,GO:0006979,response to oxidative stress,BP
Ca_01738,GO:0020037,heme binding,MF
Ca_01739,GO:0003676,nucleic acid binding,MF
Ca_01739,GO:0005634,nucleus,CC
Ca_01740,GO:0004197,cysteine-type endopeptidase activity,MF
Ca_01740,GO:0006508,proteolysis,BP
Ca_01741,GO:0005515,protein binding,MF
Ca_01741,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01741,GO:0008270,zinc ion binding,MF
Ca_01742,GO:0005515,protein binding,MF
Ca_01742,GO:0008270,zinc ion binding,MF
Ca_01743,GO:0003677,DNA binding,MF
Ca_01743,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01744,GO:0003677,DNA binding,MF
Ca_01744,GO:0003682,chromatin binding,MF
Ca_01747,GO:0003677,DNA binding,MF
Ca_01747,GO:0003682,chromatin binding,MF
Ca_01749,GO:0008152,metabolic process,BP
Ca_01749,GO:0009013,succinate-semialdehyde dehydrogenase [NAD(P)+] activity,MF
Ca_01749,GO:0009450,gamma-aminobutyric acid catabolic process,BP
Ca_01749,GO:0016491,oxidoreductase activity,MF
Ca_01749,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",MF
Ca_01750,GO:0016020,membrane,CC
Ca_01751,GO:0000287,magnesium ion binding,MF
Ca_01751,GO:0008152,metabolic process,BP
Ca_01751,GO:0010333,terpene synthase activity,MF
Ca_01751,GO:0016829,lyase activity,MF
Ca_01752,GO:0003735,structural constituent of ribosome,MF
Ca_01752,GO:0005622,intracellular anatomical structure,CC
Ca_01752,GO:0005840,ribosome,CC
Ca_01752,GO:0006412,translation,BP
Ca_01753,GO:0005385,zinc ion transmembrane transporter activity,MF
Ca_01753,GO:0016020,membrane,CC
Ca_01753,GO:0030001,metal ion transport,BP
Ca_01753,GO:0046873,metal ion transmembrane transporter activity,MF
Ca_01753,GO:0055085,transmembrane transport,BP
Ca_01753,GO:0071577,zinc ion transmembrane transport,BP
Ca_01755,GO:0006812,monoatomic cation transport,BP
Ca_01755,GO:0008324,monoatomic cation transmembrane transporter activity,MF
Ca_01755,GO:0055085,transmembrane transport,BP
Ca_01756,GO:0005515,protein binding,MF
Ca_01758,GO:0000287,magnesium ion binding,MF
Ca_01758,GO:0008152,metabolic process,BP
Ca_01758,GO:0010333,terpene synthase activity,MF
Ca_01758,GO:0016829,lyase activity,MF
Ca_01760,GO:0000287,magnesium ion binding,MF
Ca_01760,GO:0008152,metabolic process,BP
Ca_01760,GO:0010333,terpene synthase activity,MF
Ca_01760,GO:0016829,lyase activity,MF
Ca_01761,GO:0000287,magnesium ion binding,MF
Ca_01761,GO:0008152,metabolic process,BP
Ca_01761,GO:0010333,terpene synthase activity,MF
Ca_01761,GO:0016829,lyase activity,MF
Ca_01762,GO:0000287,magnesium ion binding,MF
Ca_01762,GO:0008152,metabolic process,BP
Ca_01762,GO:0010333,terpene synthase activity,MF
Ca_01762,GO:0016829,lyase activity,MF
Ca_01763,GO:0005506,iron ion binding,MF
Ca_01763,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_01763,GO:0020037,heme binding,MF
Ca_01764,GO:0006006,glucose metabolic process,BP
Ca_01764,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",MF
Ca_01764,GO:0050661,NADP binding,MF
Ca_01764,GO:0051287,NAD binding,MF
Ca_01766,GO:0003677,DNA binding,MF
Ca_01769,GO:0004618,phosphoglycerate kinase activity,MF
Ca_01769,GO:0006096,glycolytic process,BP
Ca_01770,GO:0004618,phosphoglycerate kinase activity,MF
Ca_01770,GO:0006096,glycolytic process,BP
Ca_01772,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_01774,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_01776,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_01777,GO:0003700,DNA-binding transcription factor activity,MF
Ca_01777,GO:0005622,intracellular anatomical structure,CC
Ca_01777,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01777,GO:0016602,CCAAT-binding factor complex,CC
Ca_01777,GO:0043565,sequence-specific DNA binding,MF
Ca_01777,GO:0046982,protein heterodimerization activity,MF
Ca_01778,GO:0004672,protein kinase activity,MF
Ca_01778,GO:0004674,protein serine/threonine kinase activity,MF
Ca_01778,GO:0005515,protein binding,MF
Ca_01778,GO:0005524,ATP binding,MF
Ca_01778,GO:0006468,protein phosphorylation,BP
Ca_01778,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01779,GO:0004672,protein kinase activity,MF
Ca_01779,GO:0004674,protein serine/threonine kinase activity,MF
Ca_01779,GO:0005515,protein binding,MF
Ca_01779,GO:0005524,ATP binding,MF
Ca_01779,GO:0006468,protein phosphorylation,BP
Ca_01779,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01781,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01781,GO:0006508,proteolysis,BP
Ca_01782,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01782,GO:0006508,proteolysis,BP
Ca_01783,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01783,GO:0006508,proteolysis,BP
Ca_01784,GO:0004190,aspartic-type endopeptidase activity,MF
Ca_01784,GO:0006508,proteolysis,BP
Ca_01786,GO:0046983,protein dimerization activity,MF
Ca_01788,GO:0046983,protein dimerization activity,MF
Ca_01792,GO:0008152,metabolic process,BP
Ca_01792,GO:0008168,methyltransferase activity,MF
Ca_01793,GO:0004792,thiosulfate-cyanide sulfurtransferase activity,MF
Ca_01795,GO:0004175,endopeptidase activity,MF
Ca_01795,GO:0004298,threonine-type endopeptidase activity,MF
Ca_01795,GO:0005839,proteasome core complex,CC
Ca_01795,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_01795,GO:0019773,"proteasome core complex, alpha-subunit complex",CC
Ca_01797,GO:0016020,membrane,CC
Ca_01799,GO:0004601,peroxidase activity,MF
Ca_01799,GO:0006979,response to oxidative stress,BP
Ca_01799,GO:0020037,heme binding,MF
Ca_01800,GO:0003677,DNA binding,MF
Ca_01800,GO:0003682,chromatin binding,MF
Ca_01804,GO:0004857,enzyme inhibitor activity,MF
Ca_01804,GO:0030599,pectinesterase activity,MF
Ca_01805,GO:0006508,proteolysis,BP
Ca_01805,GO:0008234,cysteine-type peptidase activity,MF
Ca_01806,GO:0006508,proteolysis,BP
Ca_01806,GO:0008234,cysteine-type peptidase activity,MF
Ca_01807,GO:0006508,proteolysis,BP
Ca_01807,GO:0008234,cysteine-type peptidase activity,MF
Ca_01808,GO:0005515,protein binding,MF
Ca_01810,GO:0006508,proteolysis,BP
Ca_01810,GO:0008234,cysteine-type peptidase activity,MF
Ca_01811,GO:0006508,proteolysis,BP
Ca_01811,GO:0008234,cysteine-type peptidase activity,MF
Ca_01812,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01813,GO:0004672,protein kinase activity,MF
Ca_01813,GO:0004674,protein serine/threonine kinase activity,MF
Ca_01813,GO:0005524,ATP binding,MF
Ca_01813,GO:0006468,protein phosphorylation,BP
Ca_01813,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_01815,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,BP
Ca_01815,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01815,GO:0019901,protein kinase binding,MF
Ca_01816,GO:0005515,protein binding,MF
Ca_01818,GO:0016491,oxidoreductase activity,MF
Ca_01818,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,MF
Ca_01819,GO:0004252,serine-type endopeptidase activity,MF
Ca_01819,GO:0006508,proteolysis,BP
Ca_01820,GO:0003677,DNA binding,MF
Ca_01820,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01821,GO:0003676,nucleic acid binding,MF
Ca_01821,GO:0005524,ATP binding,MF
Ca_01822,GO:0005515,protein binding,MF
Ca_01823,GO:0003924,GTPase activity,MF
Ca_01823,GO:0005525,GTP binding,MF
Ca_01824,GO:0016491,oxidoreductase activity,MF
Ca_01824,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,MF
Ca_01825,GO:0003924,GTPase activity,MF
Ca_01825,GO:0005525,GTP binding,MF
Ca_01826,GO:0016757,glycosyltransferase activity,MF
Ca_01828,GO:0005515,protein binding,MF
Ca_01828,GO:0008270,zinc ion binding,MF
Ca_01831,GO:0003924,GTPase activity,MF
Ca_01831,GO:0005525,GTP binding,MF
Ca_01834,GO:0000166,nucleotide binding,MF
Ca_01834,GO:0003676,nucleic acid binding,MF
Ca_01835,GO:0003824,catalytic activity,MF
Ca_01838,GO:0005488,binding,MF
Ca_01838,GO:0005515,protein binding,MF
Ca_01841,GO:0005515,protein binding,MF
Ca_01842,GO:0005515,protein binding,MF
Ca_01843,GO:0006886,intracellular protein transport,BP
Ca_01843,GO:0031083,BLOC-1 complex,CC
Ca_01846,GO:0003723,RNA binding,MF
Ca_01847,GO:0003677,DNA binding,MF
Ca_01847,GO:0006355,regulation of DNA-templated transcription,BP
Ca_01848,GO:0003676,nucleic acid binding,MF
Ca_01848,GO:0004523,RNA-DNA hybrid ribonuclease activity,MF
Ca_01849,GO:0000166,nucleotide binding,MF
Ca_01849,GO:0003676,nucleic acid binding,MF
Ca_01849,GO:0004386,helicase activity,MF
Ca_01849,GO:0005524,ATP binding,MF
