Gene_ID,Tissue,Tissue_Median_TPM,Other_Tissues_Mean_TPM,Other_Tissues_Maximum_TPM,Fold_Enrichment_vs_Other_Mean,Fold_Enrichment_vs_Second_Highest,Relative_Expression_Fraction,Tau,Expression_Class,Maximum_Tissue_Recalculated,Description,TF_Family,Marker_Score
Ca_00934,Androecium,900.24232,15.271354806451614,193.492814,55.38827778757896,4.633807807418529,0.6553630761015355,0.9830363953491416,Tissue-specific,Androecium,Adenine nucleotide alpha hydrolases-like superfamily protein,NA,55.88377621243884
Ca_19316,Androecium,2484.228058,71.62438791935485,892.467799,34.22029609061492,2.7815530238264357,0.528044140333835,0.9711683524027912,Tissue-specific,Androecium,plant invertase/pectin methylesterase inhibitor,NA,55.8299569621667
Ca_08358,Androecium,1099.349854,21.77977062903226,161.231118,48.30381622006462,6.782606614348796,0.6195186046653225,0.9801884990935448,Tissue-specific,Androecium,cytochrome b5-like heme/steroid-binding domain protein,NA,55.401251641094134
Ca_15911,Androecium,855.655864,14.648722403225806,154.018758,54.74286283098805,5.526143255514923,0.6532889807223569,0.982880123868086,Tissue-specific,Androecium,probable methyltransferase PMT16-like [Glycine max],NA,55.29629128895274
Ca_09086,Androecium,1120.189471,22.630427903225804,368.805979,47.44685435200882,3.0318316486710994,0.6149032999536547,0.9797976784382524,Tissue-specific,Androecium,probable pectinesterase/pectinesterase inhibitor 21-like [Glycine max],NA,55.271181986712655
Ca_05636,Androecium,1073.728612,21.88089948387097,302.445196,46.97055781209955,3.5417552367512193,0.6128460305772078,0.9796215736087036,Tissue-specific,Androecium,tonoplast intrinsic protein 1,NA,54.78460654560405
Ca_05149,Androecium,1628.283532,41.81565687096774,545.111429,38.053451729355054,2.9834269079177242,0.5567601894363989,0.9743191796458164,Tissue-specific,Androecium,polygalacturonase 4,NA,54.57857355694506
Ca_17218,Androecium,2117.314065,61.55999296774194,534.770247,33.86052274801685,3.9537732392967313,0.5259527089055807,0.9709254314296816,Tissue-specific,Androecium,probable carboxylesterase 2-like [Glycine max],NA,54.511958188911265
Ca_16920,Androecium,1044.156471,21.491333241935482,200.649254,46.46929818510214,5.183041594589782,0.6104793720373128,0.979417516589872,Tissue-specific,Androecium,RAB GDP dissociation inhibitor 2,NA,54.402191080183876
Ca_05985,Androecium,1332.604998,32.139130177419354,227.722452,40.24260717949393,5.830669382645478,0.5721991838404475,0.9758824781344402,Tissue-specific,Androecium,late embryogenesis abundant protein,NA,54.00349565670732
Ca_23473,Androecium,491.849181,6.269709967741935,84.505404,67.79488909281552,5.7639535975995155,0.7167616980447347,0.98725277949026,Tissue-specific,Androecium,probable methyltransferase PMT26-like [Glycine max],NA,53.71976603087757
Ca_02942,Androecium,1602.793601,44.6885845483871,304.040883,35.1027202276639,5.2576349282335375,0.5363850924371201,0.9721183160947826,Tissue-specific,Androecium,actin-11,NA,53.13393709506706
Ca_20448,Androecium,734.139726,13.860070612903225,175.7356,49.47080973906456,4.159545252908865,0.6308115810240783,0.981120663925353,Tissue-specific,Androecium,Sugar transporter SWEET n=2 Tax=Solanum RepID=M1CKY6_SOLTU,NA,52.582107290478376
Ca_23130,Androecium,5334.326306,244.70794441935485,1496.000169,21.714097680513284,3.5640118261068814,0.4128648425745059,0.9541258013886196,Tissue-specific,Androecium,beta-fructofuranosidase 5,NA,52.45800515522093
Ca_19962,Androecium,909.878712,19.959934080645162,190.797144,43.45809049280953,4.749177662416078,0.5952223512293693,0.9780630826753036,Tissue-specific,Androecium,UDP-glucuronic acid decarboxylase 2-like [Glycine max],NA,52.32298396346505
Ca_19577,Androecium,1242.78338,32.29861767741935,380.471122,37.35240279488964,3.260491576607469,0.553815033415475,0.9740110640380312,Tissue-specific,Androecium,"transmembrane protein, putative",NA,52.300966779286604
Ca_10421,Androecium,860.28601,18.31399058064516,123.800786,44.593891997809486,6.901286743498555,0.6024328650061399,0.978711741946559,Tissue-specific,Androecium,uncharacterized protein LOC102670030 [Glycine max],NA,52.282740551735856
Ca_02539,Androecium,363.719167,3.993925193548387,45.268645,73.03256513957756,7.882642057056135,0.7460433908789296,0.9890192061460747,Tissue-specific,Androecium,transferring glycosyl group transferase,NA,52.106336673901154
Ca_09085,Androecium,763.356963,15.334123387096774,204.43811,46.79510157268726,3.7206191343952684,0.6162491724446902,0.9799122505847938,Tissue-specific,Androecium,probable pectinesterase/pectinesterase inhibitor 21-like [Glycine max],NA,52.07454546205637
Ca_01312,Androecium,3730.828854,156.5632870483871,1115.999356,23.684634434250974,3.340940918143197,0.4346111940480898,0.9580352535119566,Tissue-specific,Androecium,probable pectinesterase/pectinesterase inhibitor 13-like [Glycine max],NA,51.903673474569565
Ca_22339,Androecium,2092.872784,71.82150943548388,685.018325,28.753493304819013,3.0522111548550837,0.4845353663292835,0.9656828116909164,Tissue-specific,Androecium,soluble inorganic pyrophosphatase,NA,51.62267684478664
Ca_04268,Androecium,600.653816,10.77725335483871,114.846494,51.08608924956253,5.1935435870851645,0.6425832261414183,0.982057462938288,Tissue-specific,Androecium,ATP-binding ABC transporter,NA,51.45468135699647
Ca_00824,Androecium,5877.011761,293.196891,2154.744535,19.979856826563132,2.7266736227630055,0.39268785593276806,0.9501112294949514,Tissue-specific,Androecium,plant invertase/pectin methylesterase inhibitor,NA,51.39830532202317
Ca_09511,Androecium,6817.75427,359.5127137096774,2311.624307,18.914046608328977,2.9484920007804796,0.3795517297937958,0.9472681619970328,Tissue-specific,Androecium,Plant invertase/pectin methylesterase inhibitor superfamily protein,NA,51.16696747361465
Ca_17350,Androecium,5850.30843,295.9658749516129,1913.812849,19.70363911662713,3.055812181882847,0.3893651163532326,0.949410209992704,Tissue-specific,Androecium,L-ascorbate oxidase homolog [Glycine max],NA,51.09480849680473
Ca_24789,Androecium,10748.39457,644.5929388870968,4429.797627,16.650421531143614,2.4260630872636333,0.3497599502042221,0.9400289099279784,Tissue-specific,Androecium,sucrose transporter 4,NA,51.07903942441165
Ca_03372,Androecium,3993.522093,179.9710972419355,1285.275824,22.072707486874705,3.105494185981062,0.4171814555538881,0.954934242743418,Tissue-specific,Androecium,lipase 1,NA,51.00182396062479
Ca_22407,Androecium,311.806928,3.324252112903226,37.931035,72.337810061214725,8.034898840988944,0.7515978218740376,0.9893387483907888,Tissue-specific,Androecium,receptor-like kinase 1,NA,50.653430358595514
Ca_14412,Androecium,7328.952674,408.44007625806455,2849.727871,17.90238205548797,2.5712565371694858,0.3666200360753864,0.944270335145288,Tissue-specific,Androecium,hypothetical protein,NA,50.46122949954964
Ca_06766,Androecium,397.874034,5.624861548387097,78.340797,60.208659620533616,5.027350985647397,0.6952864828594616,0.9858627076217116,Tissue-specific,Androecium,MATE efflux family protein,NA,50.35546468739757
Ca_19952,Androecium,4652.651594,228.78591045161292,1589.142612,20.2521189608792,2.9265624094853195,0.39613841839258546,0.9508267692455948,Tissue-specific,Androecium,pectinesterase/pectinesterase inhibitor-like [Glycine max],NA,50.27897009905088
Ca_09905,Androecium,1095.342014,31.144901532258064,266.43377,34.106248945880225,4.099489806392065,0.5315042523866133,0.9715660486549564,Tissue-specific,Androecium,"ATP synthase, F1 beta subunit",NA,49.95900446776287
Ca_09140,Androecium,2413.28023,97.11665687096774,720.80524,24.606221889265917,3.344780691810993,0.44493477864503234,0.9597574058479864,Tissue-specific,Androecium,uncharacterized protein LOC100800206 [Glycine max],NA,49.83768110346169
Ca_19128,Androecium,246.940098,2.16464935483871,20.9799,78.34678354519835,11.28031055646295,0.7863226768173558,0.9912341115421494,Tissue-specific,Androecium,hypothetical protein,NA,49.60535617987159
Ca_20980,Androecium,383.984279,5.635751,57.026848,58.01668552662691,6.634588854455786,0.6872908402431562,0.9853229642247932,Tissue-specific,Androecium,probable methyltransferase PMT26-like [Glycine max],NA,49.57726009202509
Ca_16185,Androecium,236.345972,1.9972909677419355,47.245516,79.18683055946649,4.919544688878443,0.7924106266949361,0.9915492912748184,Tissue-specific,Androecium,nuclear transcription factor Y subunit B-7-like [Glycine max],NF-YB,49.34848123723181
